,,p4,2,38,3,2,5,1,2,5,4
p4,2,53,0,0,1,10,4,7,0
p4,2,59,1,0,9,1,3,5,3
p3,2,7,8,0,3,0,2,1,8
p8,1,60,0,0,2,9,3,8,0
p4,1,21,2,1,0,8,3,7,1
p3,1,55,4,1,6,0,7,4,0
p4,2,32,5,1,0,5,4,7,0
p4,2,46,7,1,3,0,5,4,2
p3,1,9,9,0,2,0,2,6,3
p4,2,15,2,1,7,1,3,7,1
p7,1,43,3,3,2,3,5,5,1
p7,2,15,3,2,4,2,2,6,3
p8,1,52,1,2,3,5,5,5,1
p3,1,50,0,0,1,10,3,8,0
p3,1,48,0,0,3,8,3,8,0
p4,2,19,6,0,3,2,1,2,8
p4,1,39,0,0,1,10,7,4,0
p3,1,19,1,1,8,1,2,9,0
p8,1,23,8,0,1,2,1,5,5
p8,1,63,6,2,1,2,0,5,6
p8,2,23,4,2,2,3,2,6,3
p7,2,24,3,1,7,0,6,5,0
p4,2,47,2,2,7,0,3,6,2
p3,2,34,8,0,2,1,1,8,2
p8,1,62,4,2,4,1,0,9,2
p8,2,9,7,0,1,3,3,2,6
p7,2,3,5,1,1,4,5,5,1
p8,2,18,1,1,7,2,4,5,2
p3,1,69,9,0,1,1,1,0,10
p3,1,45,7,2,1,1,0,2,9
p3,2,15,7,0,2,2,2,3,6
p8,2,5,2,0,6,3,2,7,2
p8,2,8,4,0,4,3,2,0,9
p3,1,15,4,0,5,2,3,8,0
p4,1,6,9,0,2,0,2,3,6
p8,1,5,1,1,6,3,5,6,0
p4,2,20,5,1,5,0,1,5,5
p4,1,28,2,1,2,6,5,5,1
p8,2,2,2,2,2,5,3,6,2
p3,2,11,2,0,4,5,3,6,2
p3,1,86,0,0,1,10,2,9,0
p8,1,34,2,1,8,0,1,9,1
p3,1,88,5,0,4,2,2,7,2
p8,1,55,7,0,2,2,1,3,7
p8,1,66,10,1,0,0,8,3,0
p8,1,56,0,0,2,9,2,8,1
p7,1,51,3,1,5,2,4,6,1
p7,1,42,1,2,5,3,2,7,2
p4,2,4,7,0,1,3,3,4,4
p7,1,16,4,1,5,1,3,7,1
p4,2,26,7,0,1,3,2,8,1
p8,1,20,7,0,2,2,0,4,7
p4,1,32,5,0,4,2,8,3,0
p4,1,12,3,1,6,1,5,6,0
p8,1,27,6,2,2,1,2,1,8
p4,1,49,9,1,1,0,4,3,4
p4,1,46,5,2,2,2,6,3,2
p4,1,15,0,2,3,6,2,4,5
p7,2,11,2,1,5,3,4,6,1
p3,2,29,3,0,6,2,1,5,5
p4,1,5,8,0,1,2,7,2,2
p7,2,29,3,2,3,3,3,2,6
p8,1,8,0,1,5,5,2,2,7
p3,1,58,1,1,7,2,3,7,1
p3,1,34,5,2,4,0,1,3,7
p3,1,38,7,0,4,0,5,5,1
p8,1,57,0,0,3,8,2,9,0
p3,1,42,2,2,6,1,4,4,3
p4,2,16,0,1,0,10,2,9,0
p8,1,18,0,0,9,2,2,8,1
p7,1,5,6,2,2,1,7,3,1
p7,1,44,0,2,4,5,2,7,2
p3,2,4,4,1,1,5,8,3,0
p8,1,50,5,0,0,6,3,3,5
p3,2,9,3,0,2,6,2,6,3
p4,2,23,1,1,2,7,2,6,3
p3,1,41,9,1,0,1,3,5,3
p4,2,62,3,1,5,2,7,4,0
p3,1,53,0,2,0,9,1,9,1
p8,2,20,1,0,6,4,1,10,0
p7,1,9,2,1,7,1,2,9,0
p4,1,25,0,0,5,6,8,3,0
p7,2,23,1,0,5,5,2,5,4
p8,2,15,7,1,1,2,0,3,8
p3,1,75,3,6,1,1,3,7,1
p3,1,18,2,0,7,2,5,6,0
p7,1,55,1,1,8,1,6,2,3
p4,1,17,2,1,7,1,5,4,2
p7,1,41,3,0,7,1,1,3,7
p8,2,22,0,1,10,0,5,6,0
p3,1,84,3,1,6,1,4,7,0
p3,2,21,0,0,0,11,4,7,0
p4,2,27,0,3,8,0,2,8,1
p8,1,12,0,0,1,10,6,5,0
p8,2,3,2,2,6,1,1,9,1
p7,2,2,3,3,5,0,1,3,7
p4,2,39,0,1,6,4,4,7,0
p8,1,13,2,1,7,1,7,2,2
p3,1,31,5,2,1,3,1,8,2
p3,2,10,5,1,1,4,1,4,6
p7,1,25,0,0,8,3,4,7,0
p7,2,13,6,0,5,0,2,1,8
p3,1,73,5,0,5,1,4,3,4
p4,2,50,2,0,5,4,3,7,1
p4,2,9,7,1,2,1,2,2,7
p4,1,14,5,1,3,2,3,6,2
p8,1,21,1,2,8,0,5,4,2
p4,1,37,7,0,1,3,7,2,2
p7,1,12,6,1,2,2,4,5,2
p4,1,48,4,1,6,0,5,6,0
p4,1,34,0,0,3,8,4,6,1
p3,1,23,9,0,1,1,2,3,6
p3,1,78,8,1,1,1,1,2,8
p3,1,24,6,1,4,0,2,3,6
p8,1,42,8,0,3,0,3,1,7
p4,2,21,6,1,2,2,1,4,6
p3,2,16,7,1,1,2,2,2,7
p7,1,11,1,0,7,3,1,8,2
p8,1,16,2,0,6,3,1,6,4
p8,1,43,5,1,2,3,4,3,4
p7,2,9,0,0,10,1,6,5,0
p3,1,6,6,0,4,1,0,1,10
p4,1,38,9,0,1,1,1,5,5
p3,1,12,7,0,3,1,5,2,4
p4,1,10,7,0,3,1,2,6,3
p7,1,13,2,1,7,1,0,10,1
p3,1,30,1,1,5,4,4,7,0
p7,1,23,3,1,2,5,7,4,0
p3,1,65,9,0,2,0,1,1,9
p4,2,7,6,2,2,1,6,4,1
p4,1,18,7,1,3,0,8,3,0
p4,2,18,7,1,2,1,0,1,10
p4,1,3,3,3,4,1,1,9,1
p4,1,41,8,0,1,2,2,2,7
p4,2,2,6,0,2,3,2,4,5
p7,1,31,0,4,3,4,5,6,0
p8,1,54,0,0,2,9,4,7,0
p8,1,3,2,3,4,2,3,5,3
p8,1,2,8,0,3,0,2,2,7
p3,1,1,9,1,1,0,2,4,5
p7,1,17,0,2,3,6,6,5,0
p4,1,23,1,0,0,10,3,8,0
p7,1,36,0,0,2,9,1,8,2
p3,1,63,5,1,4,1,1,3,7
p4,1,26,6,0,3,2,5,6,0
p3,1,51,3,1,7,0,3,4,4
p8,1,22,0,1,1,9,1,7,3
p4,1,9,3,0,2,6,9,2,0
p7,1,1,4,2,3,2,5,5,1
p3,1,11,5,0,4,2,0,6,5
p4,1,1,3,1,1,6,9,2,0
p7,1,10,8,0,1,2,0,1,10
p7,1,52,3,1,6,1,8,3,0
p7,1,18,2,1,6,2,5,6,0
p7,2,7,8,0,2,1,6,5,0
p3,1,77,4,3,1,3,7,3,1
p3,1,4,8,1,0,2,1,9,1
p3,2,18,4,2,5,0,2,6,3
p8,2,21,0,1,1,9,2,7,2
p4,1,35,0,0,5,6,4,6,1
p4,2,44,7,1,2,1,1,1,9
p3,2,19,3,3,4,1,3,5,3
p7,2,1,1,3,6,1,2,8,1
p3,1,20,7,1,2,1,4,5,2
p7,1,45,9,1,0,1,1,4,6
p8,1,17,4,1,6,0,2,5,4
p7,2,28,9,2,0,0,0,2,9
p3,2,8,6,1,3,1,2,4,5
p4,1,45,0,1,2,8,2,8,1
p4,2,60,1,1,3,6,6,5,0
p8,2,36,7,3,0,1,1,2,8
p7,1,22,0,1,9,1,7,4,0
p3,1,59,8,2,1,0,1,2,8
p3,1,85,1,1,2,7,0,7,4
p7,2,10,5,2,4,0,3,3,5
p3,1,49,8,1,2,0,2,3,6
p7,2,33,2,0,7,2,5,6,0
p8,1,26,4,0,7,0,1,1,9
p8,2,6,0,0,3,8,5,6,0
p3,2,1,1,6,13,2,12,10,0
p4,2,11,1,1,2,7,3,7,1
p8,1,11,2,0,6,3,3,6,2
p4,2,63,3,0,5,3,9,2,0
p8,2,4,1,0,0,10,2,8,1
p8,2,7,3,4,3,1,3,4,4
p7,1,28,0,0,9,2,7,4,0
p4,2,58,3,0,4,4,5,5,1
p3,1,14,0,0,2,9,8,2,1
p3,2,24,5,3,2,1,1,3,7
p8,1,61,2,1,5,3,2,6,3
p7,1,6,0,0,2,9,4,7,0
p3,1,26,3,1,4,3,1,8,2
p8,1,64,0,1,2,8,3,8,0
p8,1,46,2,0,1,8,3,8,0
p4,2,37,3,0,2,6,2,2,7
p4,2,5,8,1,0,2,2,4,5
p7,2,6,0,0,3,8,5,6,0
p7,2,4,1,1,7,2,3,8,0
p7,1,48,4,0,5,2,3,2,6
p7,1,35,2,0,8,1,7,4,0
p7,2,12,8,0,1,2,3,5,3
p7,1,20,2,1,7,1,4,6,1
p3,1,10,4,0,7,0,3,7,1
p3,1,56,0,0,9,2,8,3,0
p3,2,37,8,2,1,0,7,2,2
p8,1,58,8,1,1,1,0,3,8
p4,1,30,6,2,1,2,6,1,4
p4,2,12,3,1,1,6,6,4,1
p4,2,49,10,1,0,0,9,0,2
p3,1,47,3,1,5,2,2,8,1
p3,2,23,4,2,5,0,3,7,1
p7,1,4,4,0,0,7,4,6,1
p4,1,42,5,2,2,2,3,7,1
p4,2,43,9,0,0,2,1,4,6
p8,1,10,3,0,8,0,2,8,1
p8,1,51,1,1,9,0,6,4,1
p8,2,17,7,2,2,0,2,3,6
p4,1,2,8,1,1,1,6,4,1
p7,2,25,5,0,4,2,2,2,7
p3,1,43,5,1,2,3,2,4,5
p3,2,36,9,0,2,0,3,1,7
p4,2,36,6,0,2,3,1,1,9
p3,1,46,4,2,1,4,5,5,1
p3,1,3,2,0,8,1,0,10,1
p8,2,34,0,0,10,1,4,7,0
p7,1,2,5,1,3,2,4,4,3
p7,1,19,1,0,0,10,6,5,0
p3,1,27,4,2,4,1,1,8,2
p7,1,29,0,0,3,8,3,8,0
p7,1,26,0,4,5,2,6,5,0
p8,1,19,0,0,0,11,2,9,0
